ID,SA1_1,SA1_2,SA1_3,SA1_4,SA1_5,MON_EXP_1,MON_EXP_2,MON_EXP_3,MON_EXP_4,MON_EXP_5,D_TRA1_CHECK,D_TRA1_CASE,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,D_TRA1_1_SPOT,D_TRA1_2_SPOT,D_TRA1_3_SPOT,D_TRA1_4_SPOT,D_TRA1_5_SPOT,D_TRA1_6_SPOT,D_TRA1_7_SPOT,D_TRA1_8_SPOT,D_TRA1_9_SPOT,D_TRA1_10_SPOT,D_TRA1_11_SPOT,D_TRA1_12_SPOT,D_TRA1_13_SPOT,D_TRA1_14_SPOT,D_TRA1_15_SPOT,D_TRA1_16_SPOT,D_TRA1_17_SPOT,D_TRA2_CHECK,D_TRA2_CASE,D_TRA2_COST,D_TRA2_NUM,D_TRA2_ONE_COST,D_TRA2_1_SPOT,D_TRA2_2_SPOT,D_TRA2_3_SPOT,D_TRA2_4_SPOT,D_TRA2_5_SPOT,D_TRA2_6_SPOT,D_TRA2_7_SPOT,D_TRA2_8_SPOT,D_TRA2_9_SPOT,D_TRA2_10_SPOT,D_TRA2_11_SPOT,D_TRA2_12_SPOT,D_TRA2_13_SPOT,D_TRA2_14_SPOT,D_TRA2_15_SPOT,D_TRA2_16_SPOT,D_TRA2_17_SPOT,D_TRA3_CHECK,D_TRA3_CASE,D_TRA3_COST,D_TRA3_NUM,D_TRA3_ONE_COST,D_TRA3_1_SPOT,D_TRA3_2_SPOT,D_TRA3_3_SPOT,D_TRA3_4_SPOT,D_TRA3_5_SPOT,D_TRA3_6_SPOT,D_TRA3_7_SPOT,D_TRA3_8_SPOT,D_TRA3_9_SPOT,D_TRA3_10_SPOT,D_TRA3_11_SPOT,D_TRA3_12_SPOT,D_TRA3_13_SPOT,D_TRA3_14_SPOT,D_TRA3_15_SPOT,D_TRA3_16_SPOT,D_TRA3_17_SPOT,D_TRA4_CHECK,D_TRA4_CASE,D_TRA4_COST,D_TRA4_NUM,D_TRA4_ONE_COST,D_TRA4_1_SPOT,D_TRA4_2_SPOT,D_TRA4_3_SPOT,D_TRA4_4_SPOT,D_TRA4_5_SPOT,D_TRA4_6_SPOT,D_TRA4_7_SPOT,D_TRA4_8_SPOT,D_TRA4_9_SPOT,D_TRA4_10_SPOT,D_TRA4_11_SPOT,D_TRA4_12_SPOT,D_TRA4_13_SPOT,D_TRA4_14_SPOT,D_TRA4_15_SPOT,D_TRA4_16_SPOT,D_TRA4_17_SPOT,D_TRA5_CHECK,D_TRA5_CASE,D_TRA5_COST,D_TRA5_NUM,D_TRA5_ONE_COST,D_TRA5_1_SPOT,D_TRA5_2_SPOT,D_TRA5_3_SPOT,D_TRA5_4_SPOT,D_TRA5_5_SPOT,D_TRA5_6_SPOT,D_TRA5_7_SPOT,D_TRA5_8_SPOT,D_TRA5_9_SPOT,D_TRA5_10_SPOT,D_TRA5_11_SPOT,D_TRA5_12_SPOT,D_TRA5_13_SPOT,D_TRA5_14_SPOT,D_TRA5_15_SPOT,D_TRA5_16_SPOT,D_TRA5_17_SPOT,D_TRA6_CHECK,D_TRA6_CASE,D_TRA6_COST,D_TRA6_NUM,D_TRA6_ONE_COST,D_TRA6_1_SPOT,D_TRA6_2_SPOT,D_TRA6_3_SPOT,D_TRA6_4_SPOT,D_TRA6_5_SPOT,D_TRA6_6_SPOT,D_TRA6_7_SPOT,D_TRA6_8_SPOT,D_TRA6_9_SPOT,D_TRA6_10_SPOT,D_TRA6_11_SPOT,D_TRA6_12_SPOT,D_TRA6_13_SPOT,D_TRA6_14_SPOT,D_TRA6_15_SPOT,D_TRA6_16_SPOT,D_TRA6_17_SPOT,A1_1,A1_2,A1_3,A2,A4_1,A4_2,A4_3,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,A7,A9F,NA9F,A9F_1,PA9F_1,NA9F_1,A9F_2,PA9F_2,NA9F_2,A9F_3,PA9F_3,NA9F_3,A9F_4,PA9F_4,NA9F_4,A9F_5,NA9F_5,A9FA_1,PA9FA_1,NA9FA_1,A9FA_2,PA9FA_2,NA9FA_2,A9FA_3,PA9FA_3,NA9FA_3,A9FA_4,PA9FA_4,NA9FA_4,A9F_6,PA9F_6,NA9F_6,A10,A10A_1,A10A_2,A10A_3,A10A_4,A10A_5,A10A_6,A10A_7,A10A_8,A10A_9,A10A_10,A10A_11,A10A_12,A11,A12
1104055115A_302765,1,0,0,0,0,1,2,2,2,2,Y,1,170000,1,170000,31260, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,15, , , , , , , , , , , , , , , , , , , ,18, , , ,1,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,50000,50000,0,0,0,50000,1,50000,0,0,0,0,0,0,0,0,0,4,9,9,4, ,9,9,9,9,9,9,3,4,5,3
11060910451_379300,1,0,0,0,0,1,2,2,2,2,Y,1,20000,1,20000,32360, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , ,1,2,9,4,1, , , , ,6, , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4, ,4,9,5,4,4,9,9,4,4,4
11070620491_505417,1,0,0,0,0,1,2,2,2,2,Y,1,40000,1,40000,33320, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , ,2,4, , ,1, , , , , , , , , , , , , , , , , , , , ,1,20000,20000,0,0,0,0,0,0,0,0,0,20000,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5, ,4,4,5,5,4,9,5,5,4,4
11080760641_505493,1,0,0,0,0,1,2,2,2,2,Y,1,50000,1,50000,31030, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,8,1,2,1,2, , , ,6, , , , , , , , , , , , , , , ,1,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,0,15000,1,15000,0,0,0,5000,1,5000,0,0,0,4,4,4,4, ,5,4,5,4,4,4,5,4,4,4
11090711631_505605,1,0,0,0,0,1,2,2,2,2,Y,1,187000,1,187000,32030,32030,32030,32030,32030, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,6,2,12,8,5,1,2, , , ,6, , , , , , , , , , , , , , , ,1,70000,70000,50000,1,50000,0,0,0,0,0,0,20000,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,4,4,4,5,4,5,9,3,5,4,5
1110052048A_504927,2,0,0,0,0,1,2,2,2,2, ,1,50000,1,50000,31200, , , , , , , , , , , , , , , , ,Y,1,40000,1,40000,32360, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,10, , , , ,3, , , , , , , , , , , , , , , , , , ,1,3000,3000,3000,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,4, ,5,4,4,4,4,4,4,4,5,4
1111072069A_403821,1,0,0,0,0,1,2,2,2,2,Y,1,20000,1,20000,31030, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,2,5,4,1, , , , , , , , , , , , , , , , , , , , ,1,5000,5000,5000,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,4, ,4,9,4,4,4,9,4,3,4,3
11130701621_379782,2,0,0,0,0,1,2,2,2,2,Y,1,350000,1,350000,32030,32030, , , , , , , , , , , , , , , , ,1,100000,1,100000,23010, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,2,1,6,1,2, , , ,6, , , , , , , , , , , , , , , ,1,65000,65000,0,0,0,0,0,0,0,0,0,0,0,0,65000,65000,0,0,0,50000,1,50000,15000,1,15000,0,0,0,0,0,0,4,4,2,3,4,4,3,2,3,3,2,3,3,4,4
11130721081_405379,1,0,0,0,0,1,2,2,2,2,Y,1,310000,4,77500,23050, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,8,11,4,1,2, , , ,6, , , , , , , , , , , , , , , ,1,30000,10000,0,0,0,0,0,0,0,0,0,0,0,0,30000,10000,0,0,0,20000,4,5000,10000,2,5000,0,0,0,0,0,0,4,4,9,3, ,4,3,4,4,4,9,2,2,4,4
1115054142A_303773,1,0,0,0,0,1,2,2,2,2,Y,1,80000,2,40000,23310, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,4,1,8,1,2, , , ,6, , , , , , , , , , , , , , , ,1,30000,15000,0,0,0,0,0,0,0,0,0,0,0,0,30000,15000,0,0,0,30000,2,15000,0,0,0,0,0,0,0,0,0,4,4,9,3, ,4,9,4,4,4,9,4,4,4,4
