ID,SA1_1,SA1_2,SA1_3,SA1_4,SA1_5,MON_EXP_1,MON_EXP_2,MON_EXP_3,MON_EXP_4,MON_EXP_2,D_TRA1_CHECK,D_TRA1_CASE,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,D_TRA1_VAC,D_TRA1_B7A_1,D_TRA1_B7A_2,D_TRA1_B7A_3,D_TRA1_B7B_1,D_TRA1_B7B_2,D_TRA1_B7B_3,D_TRA1_1_SPOT,D_TRA1_2_SPOT,D_TRA1_3_SPOT,D_TRA1_4_SPOT,D_TRA1_5_SPOT,D_TRA1_6_SPOT,D_TRA1_7_SPOT,D_TRA1_8_SPOT,D_TRA1_9_SPOT,D_TRA1_10_SPOT,D_TRA2_CHECK,D_TRA2_CASE,D_TRA2_S_Day,D_TRA2_COST,D_TRA2_NUM,D_TRA2_ONE_COST,D_TRA2_VAC,D_TRA2_B7A_1,D_TRA2_B7A_2,D_TRA2_B7A_3,D_TRA2_B7B_1,D_TRA2_B7B_2,D_TRA2_B7B_3,D_TRA2_1_SPOT,D_TRA2_2_SPOT,D_TRA2_3_SPOT,D_TRA2_4_SPOT,D_TRA3_CHECK,D_TRA3_CASE,D_TRA3_S_Day,D_TRA3_COST,D_TRA3_NUM,D_TRA3_ONE_COST,D_TRA3_VAC,D_TRA3_B7A_1,D_TRA3_B7A_2,D_TRA3_B7A_3,D_TRA3_B7B_1,D_TRA3_B7B_2,D_TRA3_B7B_3,D_TRA3_1_SPOT,D_TRA3_2_SPOT,D_TRA4_CHECK,D_TRA4_CASE,D_TRA4_S_Day,D_TRA4_COST,D_TRA4_NUM,D_TRA4_ONE_COST,D_TRA4_VAC,D_TRA4_B7A_1,D_TRA4_B7A_2,D_TRA4_B7A_3,D_TRA4_B7B_1,D_TRA4_B7B_2,D_TRA4_B7B_3,D_TRA4_1_SPOT,A1,A1A,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_10,A2_11,A3_1,A3_2,A3_3,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A4_10,A4_11,A4_12,A4_13,A4_14,A4_15,A4_16,A4_17,A4_18,A4_19,A4_20,A4_21,A4A,A5_1,A5_2,A5_3,A5A_1,,,A6,,,,,,,,,A8F,A8F_1,PA8F_1,NA8F_1,A8F_2,PA8F_2,NA8F_2,A8F_3,PA8F_3,NA8F_3,A8F_4,PA8F_4,NA8F_4,A8F_5,A8FA_1,PA8FA_1,NA8FA_1,A8FA_2,PA8FA_2,NA8FA_2,A8FA_3,PA8FA_3,NA8FA_3,A8FA_4,PA8FA_4,NA8FA_4,A8F_6,PA8F_6,NA8F_6
1102065080A_445449,1,0,0,0,0,1,2,2,2,2,Y,1,0,55000,1,55000,,7,,,11,,,31380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,11,3,,,1,2,,,,,,,,,,,,,,,,,,,,1,8,,,,,,1,0,1,0,0,1,0,5000,5000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1102065080A_445489,1,0,0,0,0,1,2,2,2,2,Y,1,2,300000,1,300000,1,3,,,8,,,39010,39010,39010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,3,4,,,,,,2,12,,1,,,,,,,,9,,,,,,,,,,,,,1,1,,,5,2,,1,0,1,0,0,1,0,0,0,130000,0,1,0,80000,1,80000,0,1,0,0,1,0,50000,40000,1,40000,10000,1,10000,0,1,0,0,1,0,0,1,0
1102068064A_495463,1,0,0,0,0,1,2,2,2,2,Y,1,0,159000,2,79500,,1,,,1,,,25010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,4,,,,2,,,,6,,,,,,,,,,,,,,,,2,3,,,,,,1,0,1,0,0,1,0,0,0,38000,0,1,0,0,1,0,0,1,0,0,1,0,38000,0,1,0,30000,2,15000,8000,2,4000,0,1,0,0,1,0
1102072016A_544472,1,0,0,0,0,1,2,2,2,2,Y,1,0,285000,3,95000,4,1,11,,1,11,,34380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,1,2,12,1,,,,,6,,,,,,,,,,,,,,,,1,7,5,,,,,1,0,1,0,0,1,0,30000,10000,200001,0,1,0,0,1,0,0,1,0,0,1,0,200001,0,1,0,200001,3,66667,0,1,0,0,1,0,0,1,0
11030650381_666303,1,0,0,0,0,1,2,2,2,2,Y,1,0,789003,3,263001,4,1,11,,1,11,,32340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,11,9,8,7,,,,,,,7,8,,,,,,,,,,,,,,7,8,,,,,,1,0,1,0,0,1,0,50001,16667,168000,0,1,0,0,1,0,0,1,0,0,1,0,168000,0,1,0,150000,3,50000,15000,3,5000,3000,3,1000,0,1,0
11040541631_445595,1,0,0,0,0,1,2,2,2,2,Y,1,1,401000,1,401000,,6,,,10,,,37020,37020,37020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,3,,,,,,,8,12,3,1,2,,4,,,,,,,,,,,,,,,,,,4,5,7,,,,,1,0,1,0,0,1,0,0,0,86000,0,1,0,0,1,0,0,1,0,86000,1,86000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
11050550301_470822,1,0,0,0,0,1,2,2,2,2,Y,1,0,25000,1,25000,,5,,,11,,,31090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,2,3,5,,,3,,,6,,,9,,,,,,,,,,,,,3,7,,,,,,1,0,1,0,0,1,0,0,0,4000,4000,1,4000,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1106086083A_520404,1,0,0,0,0,1,2,2,2,2,Y,1,0,135000,1,135000,,1,,,1,,,34370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,1,8,,1,2,3,,,6,,,,,,,,,,,,,,,,3,7,,,,,,1,0,1,0,0,1,0,50000,50000,25000,0,1,0,0,1,0,0,1,0,0,1,0,25000,0,1,0,20000,1,20000,5000,1,5000,0,1,0,0,1,0
11070690971_471082,1,0,0,0,0,1,2,2,2,2,Y,1,0,180000,1,180000,,1,,,1,11,,32040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,5,8,1,1,2,,,,,,,,,,,,,,,,18,,,,18,7,5,,,,,1,0,1,0,0,1,0,0,0,100000,0,1,0,0,1,0,0,1,0,0,1,0,100000,0,1,0,80000,1,80000,20000,1,20000,0,1,0,0,1,0
11080842511_618694,1,0,0,0,0,1,2,2,2,2,Y,1,0,170000,2,85000,,1,,,11,,,31190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,4,5,8,,2,,,5,6,,,,,,,,,,,,,,,,5,3,1,,3,1,,1,0,1,0,0,1,0,0,0,30000,0,1,0,0,1,0,0,1,0,0,1,0,30000,0,1,0,30000,2,15000,0,1,0,0,1,0,0,1,0
