,시군구코드,교통인프라지수_norm
74,31020,3.429257435569583
22,11230,3.2990274541301248
21,11220,2.971520757556118
23,11240,2.7370196672835045
20,11210,2.5299837823603646
16,11170,2.3688150120166926
77,31050,2.1736242667235555
73,31010,2.163644458628108
18,11190,2.060629932080763
76,31040,1.9488478574255503
19,11200,1.9210329998904851
13,11140,1.9161818937032686
1,11020,1.696776815001285
7,11080,1.6918238039214468
15,11160,1.5856979349999158
82,31100,1.5773069320226298
5,11060,1.5460607636235646
11,11120,1.5434514684089808
10,11110,1.5213300893495452
0,11010,1.4235969027844209
12,11130,1.3998135173428587
2,11030,1.3288577919590008
8,11090,1.1955958440083208
6,11070,1.0852793834995493
4,11050,1.0651239589602055
29,21050,0.9762718741100327
91,31190,0.9428803680100427
53,23060,0.896899605965719
14,11150,0.7893897875359193
3,11040,0.7779076025985269
24,11250,0.7289159741085366
9,11100,0.68973953551644
81,31090,0.6220483945692524
85,31130,0.600414392492393
55,23080,0.5949502716165652
17,11180,0.56720494843978
88,31160,0.5546709598720447
54,23070,0.480812491582159
78,31060,0.4689509252510561
96,31240,0.45336016209107866
39,21150,0.3931807179052298
65,25030,0.3701280491951797
34,21100,0.33846575219597064
52,23050,0.27872311081662443
87,31150,0.25090660697568024
66,25040,0.2403830544256639
30,21060,0.2372805097018639
79,31070,0.23313219583358688
214,38110,0.22944659738889417
75,31030,0.20120297341771914
51,23040,0.19761270367528627
42,22020,0.19516166345200334
35,21110,0.19090228456007577
47,22070,0.18972478767605822
32,21080,0.18166010255730583
63,25010,0.16255144835797491
33,21090,0.1436034291515465
37,21130,0.09192953243353102
92,31200,0.08922520829603314
225,39010,0.08838691803708296
98,31260,0.08686476896090299
46,22060,0.07489532426585747
27,21030,0.05553168416346327
25,21010,0.03704497734838113
97,31250,0.03343890487323592
41,22010,0.03049609056544586
133,34010,0.023488577251652196
31,21070,0.01564161933554252
95,31230,0.013288326345885164
45,22050,0.012238151411627061
64,25020,0.006006047329582164
61,24040,-0.005226568593174767
124,33040,-0.008997127518682136
84,31120,-0.0158763142575499
49,23010,-0.02517742871426642
83,31110,-0.02766864950406135
86,31140,-0.043388748380432746
69,26020,-0.046507231755708964
