,시군구코드,평균 접근 시간(분),정류장 밀도,철도역 밀도,발생량,1인당 대중교통 이용량,평균 환승 횟수,평균 환승 대기시간,대중교통 환승 이용 비율,환승 발생량,평균 통행거리(km),접근 가능 시설 수(개)
0,11010,33.093514195079614,37.2,0.0,182474355,31294.331595793068,33.9772,45293.0,8.4746,29362965.0,12.0,1.9407228232061933
1,11020,25.704874316902465,31.9,0.1006036217303823,212871059,17477.213692102112,13.772600000000002,23669.0,7.054,33236539.0,12.0,2.631206087691213
2,11030,25.394027069955683,34.0,0.0771604938271604,123011097,12621.346798138682,26.591,36689.0,11.686799999999998,26487958.0,11.0,2.403543268038681
3,11040,24.701796805976542,41.9,0.0,103326461,6266.025410076925,22.8651,36417.0,9.559899999999995,16931148.0,10.0,2.487085841417343
4,11050,24.48836485031281,36.0,0.0,113175517,5753.9898795754825,20.1311,34806.0,9.5304,21681189.0,10.0,2.7260345335707474
5,11060,25.40484853862316,31.5,0.0720980533525594,129804288,5410.588850021257,24.7788,32085.0,9.4583,31723354.0,10.0,1.9664866401800112
6,11070,18.44143845504908,44.4,0.0894454382826475,92036988,4455.480833051899,26.6174,38626.0,11.1766,22904457.0,9.0,2.193828925342247
7,11080,36.834578545025664,38.4,0.0,132470657,7650.642500161618,35.46239999999999,47302.0,12.793499999999993,34627302.0,9.0,1.498720242227787
8,11090,43.67336672251887,48.3,0.0,98114209,8036.761033554952,23.9078,31371.0,6.654,27285437.0,9.0,1.0664285293108622
9,11100,41.05836404929507,51.8,0.0,75132122,5054.531448403404,21.3555,32350.0,7.0093000000000005,18793767.0,10.0,0.7224349606848148
10,11110,33.48074046717682,53.2,0.0,131551289,9357.800144627136,41.374099999999984,64948.0,9.992000000000004,32607374.0,10.0,1.238135044264166
11,11120,37.99149104463736,42.2,0.0,124836875,7945.891030556028,36.559900000000006,52806.0,10.4771,32862973.0,10.0,1.231564086073642
12,11130,36.3468160617772,41.0,0.0,113103176,6511.453750395553,33.217699999999994,38957.0,11.095399999999998,29754675.0,9.0,1.4884394887950263
13,11140,34.87665696869922,53.0,0.0,191455358,12554.984753087936,30.852500000000003,48053.0,10.850500000000002,38420637.0,11.0,1.8116090516457928
14,11150,39.00615403816079,40.7,0.0,87536507,5010.200064578985,29.999700000000004,41920.0,10.0605,19327830.0,9.0,1.2605407964874773
15,11160,41.402653164344855,46.0,0.0,156897272,11550.127916946172,41.919,71467.0,15.008,32728567.0,11.0,1.3179821072187323
16,11170,36.79253629599423,49.3,0.0,157408788,8070.908408301435,38.861100000000015,49370.0,11.269399999999996,47522760.0,11.0,1.3620593585333676
17,11180,36.158817893319046,47.0,0.0,80212699,3202.7830544702483,22.410400000000003,30709.0,6.5172,16059203.0,11.0,1.2327816420672577
18,11190,29.35452657109192,48.1,0.0638977635782747,197185616,12917.041896057535,32.2776,46841.0,14.238600000000003,40074941.0,11.0,2.085645841869812
19,11200,28.8080996811843,38.5,0.0,139074155,6006.967772502212,29.86790000000001,36511.0,10.0398,38003628.0,10.0,2.3307852972550425
20,11210,37.36341192239417,44.1,0.0,169843564,10420.607248058712,39.57419999999999,52635.0,10.928099999999995,49710153.0,9.0,1.8008246388400349
21,11220,27.57660255234129,46.5,0.0,216555170,24950.93100047052,54.90419999999998,83215.0,18.9355,54054068.0,12.0,3.193746031129343
22,11230,28.07686018963697,36.3,0.0,353424021,25621.105898276845,50.90889999999998,79982.0,18.035200000000007,60502130.0,12.0,2.9006148992205736
23,11240,32.40972675068964,32.2,0.0,225537521,11680.84433207308,44.9924,78626.0,16.939400000000003,51503756.0,11.0,2.375893538355552
24,11250,37.216872253505855,43.3,0.0,89623057,4799.628395689946,29.5249,57318.0,10.4733,17546120.0,10.0,1.707925922761449
25,21010,35.28359255857083,48.1,0.0,35184449,2742.307969513532,3.5264,6759.0,2.1689,8515377.0,4.0,0.3521889385939816
26,21020,38.86903456240561,49.6,0.0,27173117,3646.960240422936,18.1539,28478.0,4.231,5301598.0,4.0,0.3399254080056663
27,21030,35.95870032360919,37.8,0.1483679525222551,43599806,5025.85698846888,11.0604,22631.0,4.253699999999999,8442603.0,5.0,0.3552542490189941
28,21040,50.78433494489416,53.4,0.0,18896087,2518.3432386240875,18.1667,37911.0,4.1334,2673782.0,8.0,0.0560314357942043
29,21050,34.12689810186843,41.2,0.0628535512256442,120800456,9969.59603251982,29.169700000000013,43033.0,11.723200000000002,23538086.0,4.0,0.5712412536717905
30,21060,42.23091183252199,54.8,0.0,59137610,3631.477038508919,18.9571,35043.0,7.3132,10808487.0,3.0,0.7318517683693725
31,21070,47.43498991679262,33.0,0.0,46951275,4954.002775698487,24.978500000000004,53256.0,6.1285,7770471.0,5.0,0.2360719563715805
32,21080,29.57903396994844,54.5,0.1958863858961802,53448000,7691.076477399351,22.071000000000005,47407.0,6.4791,9485475.0,4.0,0.9776359545624084
33,21090,48.27380744732244,34.1,0.0582750582750582,70356904,9527.682347988572,28.276200000000006,71641.0,9.021399999999998,9855520.0,5.0,0.0101434978428605
34,21100,50.48246595352728,36.8,0.0,63948124,8970.70023201445,41.358,77933.0,9.047900000000002,13288450.0,4.0,0.1950416367588504
35,21110,42.81493021178031,49.8,0.0,49901934,15110.154699544171,35.719399999999986,82105.0,7.150400000000002,8819789.0,4.0,1.388415353973879
36,21120,60.91540869937568,21.8,0.0,17234649,22047.41468834094,146.41449999999992,319405.0,15.208100000000009,4159590.0,10.0,0.1321705128767604
37,21130,39.71167411670408,38.8,0.0,52426308,3085.459161067512,15.141299999999996,27690.0,4.9305,8851796.0,3.0,0.5931439267212102
38,21140,43.1934962096106,34.0,0.0,36534204,2139.490281695779,11.852100000000002,26610.0,4.2196,5252949.0,4.0,0.2344871921447547
39,21150,26.69813239699429,33.0,0.0654450261780104,54521606,9698.96308341157,34.0462,54773.0,8.825299999999999,13208818.0,5.0,0.878176607343274
40,21310,59.22655923061422,29.8,0.0739918608953015,17016867,20788.24779919916,76.37730000000002,252762.0,10.956900000000006,2051565.0,16.0,0.0709999003674682
41,22010,22.42854492602979,21.7,0.1538461538461538,44426848,3521.6647230145177,0.7887000000000001,218394.0,0.0015,5272601.0,0.0,2.30159455433199
42,22020,26.576182339214963,22.8,0.0391849529780564,50094181,26611.159157447168,1.1933,346251.0,0.0055,8654665.0,0.0,1.658285508505579
43,22030,25.5928158822648,15.5,0.0,23210047,2449.8928261245883,0.2306,69526.0,0.0006,3983720.0,0.0,1.9398460223095848
44,22040,26.57524302766006,19.1,0.0,22837389,2859.86256106072,0.7466,232281.0,0.003,3367472.0,0.0,1.950795613374906
45,22050,30.127951666654493,170.79999999999998,0.0,45236529,10128.04772838755,1.292,291302.0,0.0044,6371019.0,0.0,1.437001240631136
46,22060,30.39970924685616,23.4,0.0,47236995,8876.12186942886,1.4485,465999.0,0.0072,6442110.0,0.0,1.794934889856286
47,22070,36.13308850638956,17.1,0.0,63615501,7517.699192308092,1.1998999999999995,379211.0,0.0022,9305394.0,0.0,1.364237623254878
48,22310,60.10232984432819,11.5,0.0,17057673,27879.705769158507,0.4474,104126.0,0.0007,1656589.0,0.0,0.722436476026367
49,23010,62.86800829098349,17.9,0.0,38473802,33977.22874045474,50.5339,176550.0,10.634699999999992,5692818.0,18.0,0.5427937194042287
50,23020,58.57462881145796,20.3,0.0,7296493,889.3375180839079,10.327399999999995,17667.0,1.635,1257477.0,9.0,0.5215695105068863
51,23040,55.73231055456736,16.4,0.0,55314774,7920.515858840529,54.0552,116313.0,12.057600000000004,9923472.0,13.0,0.570325047635082
52,23050,47.92295148258627,26.4,0.0,71546069,8347.271435942683,71.11269999999998,133483.0,18.361499999999992,9975270.0,10.0,0.9785000418421144
53,23060,46.34758089192435,39.7,0.0,100586154,6515.918204574364,37.86330000000001,67508.0,13.1244,21525459.0,11.0,1.0712856210109467
54,23070,51.88214417183859,39.3,0.0,48448447,7877.501122858338,42.1231,70565.0,9.7449,14788081.0,12.0,0.9700242286040048
55,23080,62.921028628283246,20.8,0.0,79427175,15146.11721916967,131.91739999999996,262242.0,24.426400000000008,16429608.0,13.0,0.3189773939454684
56,23310,92.5225580772122,329.6,0.0,2521222,15031.60557683965,133.84019999999992,283117.0,7.4220000000000015,432794.0,20.0,0.4186926074542789
57,23320,119.71465494092374,0.0,0.0,131066,1112.424042213645,4.9993,19709.0,0.0297,5340.0,42.0,0.0
58,24010,36.36158584701415,18.6,0.0,20090643,9245.264916000064,12.4756,37546.0,2.9710999999999994,3683517.0,6.0,0.7170409366187416
59,24020,42.090944618962816,19.1,0.0494071146245059,26653187,4480.505182615322,21.8051,65232.0,5.234400000000003,4593170.0,5.0,0.287477049477243
